Wii Sports	Wii Sports (USA).wbfs	PASS	0
Animal Crossing: City Folk	Animal Crossing - City Folk (USA) (En,Fr,Es).wbfs	PASS	0
The Legend of Zelda: Twilight Princess	Legend of Zelda, The - Twilight Princess (USA).wbfs	PASS	2
WarioWare: Smooth Moves	WarioWare - Smooth Moves (USA) (En,Fr,Es).wbfs	TIMEOUT	0
Metroid Prime 3: Corruption	Metroid Prime 3 - Corruption (USA).wbfs	ERROR_EXIT28	29
Battalion Wars 2	Battalion Wars 2 (USA).wbfs	ERROR_EXIT28	29
Excite Truck	Excite Truck (USA).wbfs	ERROR_EXIT82	73
Wii Play	Wii Play (USA).wbfs	ERROR_EXIT28	2
Pokémon Battle Revolution	Pokemon Battle Revolution (USA).wbfs	ERROR_EXIT66	38
Fire Emblem: Radiant Dawn	Fire Emblem - Radiant Dawn (USA) (Rev 1).wbfs	ERROR_EXIT28	32
Super Paper Mario	Super Paper Mario (USA).wbfs	ERROR_EXIT28	28
Big Brain Academy: Wii Degree	Big Brain Academy - Wii Degree (USA) (En,Fr,Es).wbfs	ERROR_EXIT28	35
Mario Strikers Charged	Mario Strikers Charged (USA) (En,Fr,Es) (Rev 1).wbfs	ERROR_EXIT36	32
Mario Party 8	Mario Party 8 (USA, Asia) (Rev 2).wbfs	CRASH_SIG10	26
Donkey Kong Barrel Blast	Donkey Kong - Barrel Blast (USA).wbfs	ERROR_EXIT28	32
Endless Ocean	Endless Ocean (USA) (En,Fr,Es).wbfs	ERROR_EXIT28	70
Super Mario Galaxy	Super Mario Galaxy (USA, Canada) (En,Fr,Es).wbfs	ERROR_EXIT28	29
Mario & Sonic at the Olympic Games	Mario & Sonic at the Olympic Games (USA) (En,Fr,Es).wbfs	PASS	0
Link's Crossbow Training	Link's Crossbow Training (USA) (En,Fr,Es).wbfs	ERROR_EXIT28	29
Wii Fit	Wii Fit (USA) (En,Fr,Es).wbfs	ERROR_EXIT28	35
Wii Chess	Wii Chess (Europe) (En,Fr,De,Es,It).wbfs	ERROR_EXIT28	31
Super Smash Bros. Brawl	Super Smash Bros. Brawl (USA, Canada) (Rev 2).wbfs	ERROR_EXIT28	251
Mario Kart Wii	Mario Kart Wii (USA) (En,Fr,Es).wbfs	TIMEOUT	35
Mario Super Sluggers	Mario Super Sluggers (USA) (En,Fr,Es).wbfs	ERROR_EXIT28	31
Wario Land: Shake It!	Wario Land - Shake It! (USA) (En,Fr,Es).wbfs	ERROR_EXIT82	86
Fatal Frame: Mask of the Lunar Eclipse	Zero - Tsukihami no Kamen (Japan).wbfs	ERROR_EXIT28	33
Captain Rainbow	Captain Rainbow (Japan).wbfs	ERROR_EXIT28	140
Disaster: Day of Crisis	Disaster - Day of Crisis (Europe) (En,Fr,De,Es,It).wbfs	ERROR_EXIT28	33
Wii Music	Wii Music (USA) (En,Fr,Es).wbfs	ERROR_EXIT28	33
New Play Control! Donkey Kong Jungle Beat	Donkey Kong Jungle Beat (USA) (En,Fr,Es).wbfs	ERROR_EXIT28	33
New Play Control! Pikmin	Pikmin (USA) (En,Fr,Es).wbfs	ERROR_EXIT76	31
New Play Control! Mario Power Tennis	Mario Power Tennis (USA) (En,Fr,Es).wbfs	ERROR_EXIT28	33
Another Code: R – A Journey into Lost Memories	Another Code R - A Journey into Lost Memories (Europe) (En,Fr,De,Es,It).wbfs	ERROR_EXIT28	33
Metroid Prime	Metroid Prime (Japan).wbfs	ERROR_EXIT28	33
New Play Control! Pikmin 2	Pikmin 2 (USA) (En,Fr,Es).wbfs	ERROR_EXIT28	31
Excitebots: Trick Racing	ExciteBots - Trick Racing (USA).wbfs	ERROR_EXIT36	35
Punch-Out (Wii)	Punch-Out!! (USA) (En,Fr,Es) (Rev 1).wbfs	ERROR_EXIT28	33
Metroid Prime 2	Metroid (USA) (NES) (Virtual Console).zip	ERROR_EXIT28	2
Chibi-Robo!	Chibi-Robo! (Japan).wbfs	ERROR_EXIT28	105
Wii Sports Resort	Wii Sports Resort (USA) (En,Fr,Es).wbfs	ERROR_EXIT28	33
Metroid Prime: Trilogy	Metroid Prime Trilogy (USA).wbfs	ERROR_EXIT66	102
Endless Ocean: Blue World	Endless Ocean - Blue World (USA).wbfs	TIMEOUT	4
Wii Fit Plus	Wii Fit Plus (USA) (En,Fr,Es).wbfs	ERROR_EXIT28	47
Mario & Sonic at the Olympic Winter Games	Mario & Sonic at the Olympic Winter Games (USA) (En,Ja,Fr,Es).wbfs	ERROR_EXIT28	33
Sin & Punishment: Star Successor	Sin & Punishment - Star Successor (USA).wbfs	ERROR_EXIT28	14
New Super Mario Bros. Wii	New Super Mario Bros. Wii (USA) (En,Fr,Es) (Rev 2).wbfs	ERROR_EXIT28	16
PokéPark Wii: Pikachu's Adventure	PokePark Wii - Pikachu's Adventure (USA).wbfs	ERROR_EXIT28	14
Zangeki no Reginleiv	Zangeki no Reginleiv (Japan).wbfs	ERROR_EXIT28	32
And-Kensaku	And-Kensaku (Japan).wbfs	ERROR_EXIT28	18
Super Mario Galaxy 2	Super Mario Galaxy 2 (USA) (En,Fr,Es).wbfs	ERROR_EXIT28	14
Xenoblade Chronicles (video game)	Xenoblade Chronicles (USA, Asia) (En,Fr,Es).wbfs	ERROR_EXIT28	20
Wii Party	Wii Party (USA) (En,Fr,Es).wbfs	ERROR_EXIT28	18
Metroid: Other M	Metroid - Other M (USA) (En,Fr,Es).wbfs	ERROR_EXIT28	18
Kirby's Epic Yarn	Kirby's Epic Yarn (USA) (En,Fr,Es).wbfs	ERROR_EXIT28	450
Super Mario All-Stars 25th Anniversary Edition	Super Mario All-Stars (USA).wbfs	ERROR_EXIT28	19
FlingSmash	FlingSmash (USA) (En,Fr,Es) (Rev 1).wbfs	ERROR_EXIT28	18
Donkey Kong Country Returns	Donkey Kong Country Returns (USA) (En,Fr,Es).wbfs	ERROR_EXIT28	18
Mario Sports Mix	Mario Sports Mix (USA) (En,Fr,Es).wbfs	ERROR_EXIT28	18
The Last Story	Last Story, The (USA) (En,Fr,Es).wbfs	ERROR_EXIT28	20
Pandora's Tower	Pandora's Tower (USA) (En,Fr,Es).wbfs	ERROR_EXIT36	20
Wii Play: Motion	Wii Play - Motion (USA) (En,Fr,Es).wbfs	ERROR_EXIT66	19
Mystery Case Files: The Malgrave Incident	Mystery Case Files - The Malgrave Incident (USA).wbfs	ERROR_EXIT28	18
Rhythm Heaven Fever	Rhythm Heaven Fever (USA).wbfs	ERROR_EXIT28	20
Just Dance Wii	Just Dance Wii (Japan) (Rev 1).wbfs	ERROR_EXIT28	26
